CONTENT ID	CONTENT TYPE	MIRNA ID	SPECIES	EXPERIMENT ID	METHODS	Entrez GENE ID	COMMENTS
63	mirna	miR-468	Mus musculus	15	miRCURY LNA Array	723871	Clear hit to Entrez gene ID
64	mirna	miR-470	Mus musculus	15	miRCURY LNA Array	723873	Clear hit to Entrez gene ID
65	mirna	miR-494	Mus musculus	15	miRCURY LNA Array	723878	Clear hit to Entrez gene ID
66	mirna	miR-500	Mus musculus	15	miRCURY LNA Array	723974	Clear hit to Entrez gene ID
67	mirna	miR-503	Mus musculus	15	miRCURY LNA Array	72575	Clear hit to Entrez gene ID
68	mirna	miR-542-5p	Mus musculus	15	miRCURY LNA Array	723901	Clear hit to Entrez gene ID
69	mirna	miR-546	Mus musculus	15	miRCURY LNA Array	723882	Clear hit to Entrez gene ID
70	mirna	miR-96	Mus musculus	15	miRCURY LNA Array	723886	Clear hit to Entrez gene ID
71	mirna	U6-snRNA-1	Mus musculus	15	miRCURY LNA Array	NOTFOUND	NOTFOUND
72	mirna	U6-snRNA-2	Mus musculus	15	miRCURY LNA Array	NOTFOUND	NOTFOUND
73	mirna	let-7a	Homo sapiens	45	467microRNA Array	406881	Ambiguous mapping to Entrez gene ID
74	mirna	let-7a	Homo sapiens	45	467microRNA Array	406882	Ambiguous mapping to Entrez gene ID
75	mirna	let-7a	Homo sapiens	45	467microRNA Array	406883	Ambiguous mapping to Entrez gene ID
76	mirna	let-7b	Homo sapiens	45	467microRNA Array	406884	Clear hit to Entrez gene ID
77	mirna	let-7c	Homo sapiens	45	467microRNA Array	406885	Clear hit to Entrez gene ID
78	mirna	let-7d	Homo sapiens	45	467microRNA Array	406886	Clear hit to Entrez gene ID
79	mirna	let-7e	Homo sapiens	45	467microRNA Array	406887	Clear hit to Entrez gene ID
80	mirna	let-7f	Homo sapiens	45	467microRNA Array	406888	Ambiguous mapping to Entrez gene ID
81	mirna	let-7f	Homo sapiens	45	467microRNA Array	406889	Ambiguous mapping to Entrez gene ID
82	mirna	let-7g	Homo sapiens	45	467microRNA Array	406890	Clear hit to Entrez gene ID
83	mirna	let-7i	Homo sapiens	45	467microRNA Array	406891	Clear hit to Entrez gene ID
84	mirna	miR-100	Homo sapiens	45	467microRNA Array	406892	Clear hit to Entrez gene ID
85	mirna	miR-101	Homo sapiens	45	467microRNA Array	406893	Ambiguous mapping to Entrez gene ID
86	mirna	miR-101	Homo sapiens	45	467microRNA Array	406894	Ambiguous mapping to Entrez gene ID
87	mirna	miR-103	Homo sapiens	45	467microRNA Array	100302238	Ambiguous mapping to Entrez gene ID
88	mirna	miR-103	Homo sapiens	45	467microRNA Array	100302282	Ambiguous mapping to Entrez gene ID
89	mirna	miR-103	Homo sapiens	45	467microRNA Array	406895	Ambiguous mapping to Entrez gene ID
90	mirna	miR-103	Homo sapiens	45	467microRNA Array	406896	Ambiguous mapping to Entrez gene ID
91	mirna	miR-105	Homo sapiens	45	467microRNA Array	406897	Ambiguous mapping to Entrez gene ID
92	mirna	miR-105	Homo sapiens	45	467microRNA Array	406898	Ambiguous mapping to Entrez gene ID
93	mirna	miR-106a	Homo sapiens	45	467microRNA Array	406899	Clear hit to Entrez gene ID
94	mirna	miR-106b	Homo sapiens	45	467microRNA Array	406900	Clear hit to Entrez gene ID
95	mirna	miR-107	Homo sapiens	45	467microRNA Array	406901	Clear hit to Entrez gene ID
96	mirna	miR-10a	Homo sapiens	45	467microRNA Array	406902	Clear hit to Entrez gene ID
97	mirna	miR-10b	Homo sapiens	45	467microRNA Array	406903	Clear hit to Entrez gene ID
98	mirna	miR-122a	Homo sapiens	45	467microRNA Array	406906	Ambiguous mapping to Entrez gene ID
99	mirna	miR-125a	Homo sapiens	45	467microRNA Array	406910	Clear hit to Entrez gene ID
100	mirna	miR-125b	Homo sapiens	45	467microRNA Array	406911	Ambiguous mapping to Entrez gene ID
101	mirna	miR-125b	Homo sapiens	45	467microRNA Array	406912	Ambiguous mapping to Entrez gene ID
102	mirna	miR-126	Homo sapiens	45	467microRNA Array	406913	Clear hit to Entrez gene ID
103	mirna	miR-128a	Homo sapiens	45	467microRNA Array	406915	Ambiguous mapping to Entrez gene ID
104	mirna	miR-128b	Homo sapiens	45	467microRNA Array	406916	Clear hit to Entrez gene ID
105	mirna	miR-129	Homo sapiens	45	467microRNA Array	100302178	Ambiguous mapping to Entrez gene ID
106	mirna	miR-129	Homo sapiens	45	467microRNA Array	677815	Ambiguous mapping to Entrez gene ID
107	mirna	miR-130a	Homo sapiens	45	467microRNA Array	406919	Clear hit to Entrez gene ID
108	mirna	miR-130b	Homo sapiens	45	467microRNA Array	406920	Clear hit to Entrez gene ID
109	mirna	miR-133a	Homo sapiens	45	467microRNA Array	128826	Ambiguous mapping to Entrez gene ID
110	mirna	miR-135b	Homo sapiens	45	467microRNA Array	442891	Clear hit to Entrez gene ID
111	mirna	miR-136	Homo sapiens	45	467microRNA Array	406927	Clear hit to Entrez gene ID
112	mirna	miR-137	Homo sapiens	45	467microRNA Array	406928	Clear hit to Entrez gene ID
113	mirna	miR-138	Homo sapiens	45	467microRNA Array	406929	Ambiguous mapping to Entrez gene ID
114	mirna	miR-138	Homo sapiens	45	467microRNA Array	406930	Ambiguous mapping to Entrez gene ID
115	mirna	miR-140	Homo sapiens	45	467microRNA Array	406932	Clear hit to Entrez gene ID
116	mirna	miR-141	Homo sapiens	45	467microRNA Array	406933	Clear hit to Entrez gene ID
117	mirna	miR-146a	Homo sapiens	45	467microRNA Array	406938	Clear hit to Entrez gene ID
118	mirna	miR-146b	Homo sapiens	45	467microRNA Array	574447	Clear hit to Entrez gene ID
119	mirna	miR-147	Homo sapiens	45	467microRNA Array	406939	Ambiguous mapping to Entrez gene ID
120	mirna	miR-148a	Homo sapiens	45	467microRNA Array	406940	Clear hit to Entrez gene ID
121	mirna	miR-148b	Homo sapiens	45	467microRNA Array	442892	Clear hit to Entrez gene ID
122	mirna	miR-149	Homo sapiens	45	467microRNA Array	406941	Clear hit to Entrez gene ID
123	mirna	miR-150	Homo sapiens	45	467microRNA Array	406942	Clear hit to Entrez gene ID
124	mirna	miR-151	Homo sapiens	45	467microRNA Array	442893	Ambiguous mapping to Entrez gene ID
125	mirna	miR-152	Homo sapiens	45	467microRNA Array	406943	Clear hit to Entrez gene ID
126	mirna	miR-15b	Homo sapiens	45	467microRNA Array	406949	Clear hit to Entrez gene ID
127	mirna	miR-16	Homo sapiens	45	467microRNA Array	51573	Ambiguous mapping to Entrez gene ID
128	mirna	miR-17-3p	Homo sapiens	45	467microRNA Array	406952	Ambiguous mapping to Entrez gene ID
129	mirna	miR-17-5p	Homo sapiens	45	467microRNA Array	406952	Ambiguous mapping to Entrez gene ID
130	mirna	miR-181a	Homo sapiens	45	467microRNA Array	406954	Ambiguous mapping to Entrez gene ID
131	mirna	miR-181a	Homo sapiens	45	467microRNA Array	406995	Ambiguous mapping to Entrez gene ID
132	mirna	miR-181b	Homo sapiens	45	467microRNA Array	406955	Ambiguous mapping to Entrez gene ID
133	mirna	miR-181b	Homo sapiens	45	467microRNA Array	406956	Ambiguous mapping to Entrez gene ID
134	mirna	miR-181c	Homo sapiens	45	467microRNA Array	406957	Clear hit to Entrez gene ID
135	mirna	miR-181d	Homo sapiens	45	467microRNA Array	574457	Clear hit to Entrez gene ID
136	mirna	miR-182	Homo sapiens	45	467microRNA Array	406958	Clear hit to Entrez gene ID
137	mirna	miR-183	Homo sapiens	45	467microRNA Array	406959	Clear hit to Entrez gene ID
138	mirna	miR-185	Homo sapiens	45	467microRNA Array	406961	Clear hit to Entrez gene ID
139	mirna	miR-186	Homo sapiens	45	467microRNA Array	406962	Clear hit to Entrez gene ID
140	mirna	miR-187	Homo sapiens	45	467microRNA Array	406963	Clear hit to Entrez gene ID
141	mirna	miR-188	Homo sapiens	45	467microRNA Array	406964	Clear hit to Entrez gene ID
142	mirna	miR-18a	Homo sapiens	45	467microRNA Array	406953	Clear hit to Entrez gene ID
