EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
2801	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk - Fraction 5	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2802	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk - Fraction 6	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2803	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk - Fraction 7	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2804	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk - Fraction 8	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2805	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk - Fraction 9	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2806	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Raw milk - Fractions 6-8 pooled	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2807	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk - Fractions 6-8 pooled	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2808	34168137	Homo sapiens	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Colorectal cancer cells	cl	LIM1215 - Fraction 6	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2809	34168137	Homo sapiens	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Colorectal cancer cells	cl	LIM1215 - Fraction 7	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2810	34168137	Homo sapiens	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Colorectal cancer cells	cl	LIM1215 - Fraction 8	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2811	34168137	Homo sapiens	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Colorectal cancer cells	cl	LIM1215 - Fraction 9	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2812	34168137	Homo sapiens	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Colorectal cancer cells	cl	LIM1215 - Fraction 10	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2813	34168137	Homo sapiens	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Colorectal cancer cells	cl	LIM1215	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2814	34168137	Homo sapiens	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Colorectal cancer cells	cl	LIM1215	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2815	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Raw milk	Protein|mRNA|miRNA|tRNA	Western blotting|Mass spectrometry|Small RNA sequencing	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2816	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Raw milk	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2817	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Raw milk	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2818	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Raw milk	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2819	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Raw milk	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2820	34168137	Homo sapiens	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Colorectal cancer cells	cl	LIM1215	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2821	34168137	Homo sapiens	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Colorectal cancer cells	cl	LIM1215	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2822	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk	Protein|mRNA|miRNA|tRNA	Mass spectrometry|Small RNA sequencing	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2823	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2824	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk-derived EVs - Fraction 4	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2825	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk-derived EVs - Fraction 5	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2826	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk-derived EVs - Fraction 6	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2827	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk-derived EVs - Fraction 7	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2828	34168137	Bos taurus	Oral administration of bovine milk-derived extracellular vesicles induces senescence in the primary tumor but accelerates cancer metastasis	Bovine milk	ts	Commercial milk-derived EVs - Fraction 8	Protein	Western blotting	2021	Differential centrifugation|OptiPrep density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
2829	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Plasma	ts	Sero-negative control	Protein	Microflow vesiclometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2830	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Plasma	ts	COVID-19 patients - Acute phase	Protein	Microflow vesiclometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2831	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Plasma	ts	COVID-19 patients - Convalescent phase	Protein	Microflow vesiclometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2832	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Plasma	ts	COVID-19 inpatients - Convalescent phase	Protein	Microflow vesiclometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2833	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Plasma	ts	COVID-19 outpatients - Convalescent phase	Protein	Microflow vesiclometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2834	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Lung cancer cells	cl	A549	Protein	Western blotting	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2835	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Lung cancer cells	cl	A549	Protein	Western blotting	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2836	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Embryonic kidney cells	cl	HEK293	Protein	Western blotting|Immuno-EM	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2837	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Embryonic kidney cells	cl	HEK293	Protein	Western blotting	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2838	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Embryonic kidney cells	cl	HEK293	Protein	Western blotting|Immuno-EM|ELISA|Mass spectrometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2839	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Embryonic kidney cells	cl	HEK293	Protein	Western blotting|Mass spectrometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2840	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Cervical cancer cells	cl	HeLa	Protein	Western blotting	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2841	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Cervical cancer cells	cl	HeLa	Protein	Western blotting|ELISA	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2842	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Embryonic kidney cells	cl	HEK293 - Fraction 1	Protein	Western blotting	2022	Differential centrifugation|Ultracentrifugation|OptiPrep density gradient centrifugation	Extracellular vesicles
2843	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Embryonic kidney cells	cl	HEK293 - Fraction 2	Protein	Western blotting	2022	Differential centrifugation|Ultracentrifugation|OptiPrep density gradient centrifugation	Extracellular vesicles
2844	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Embryonic kidney cells	cl	HEK293 - Fraction 3	Protein	Western blotting	2022	Differential centrifugation|Ultracentrifugation|OptiPrep density gradient centrifugation	Extracellular vesicles
2845	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Embryonic kidney cells	cl	HEK293 - Fraction 4	Protein	Western blotting	2022	Differential centrifugation|Ultracentrifugation|OptiPrep density gradient centrifugation	Extracellular vesicles
2846	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Embryonic kidney cells	cl	HEK293 - Fraction 5	Protein	Western blotting	2022	Differential centrifugation|Ultracentrifugation|OptiPrep density gradient centrifugation	Extracellular vesicles
2847	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Embryonic kidney cells	cl	HEK293 - Fraction 6	Protein	Western blotting	2022	Differential centrifugation|Ultracentrifugation|OptiPrep density gradient centrifugation	Extracellular vesicles
2848	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Plasma	ts	NWL-001 - Lung cancer patient	Protein	Western blotting|Mass spectrometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2849	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Plasma	ts	NWL-004 - Lung cancer patient	Protein	Mass spectrometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2850	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Plasma	ts	CSB-012 - COVID-19 patient - convalescent phase	Protein	Western blotting|Mass spectrometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2851	35058437	Homo sapiens	Circulating ACE2-expressing extracellular vesicles block broad strains of SARS-CoV-2	Plasma	ts	CSB-024 - COVID-19 patient - convalescent phase	Protein	Mass spectrometry	2022	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2852	33579909	Homo sapiens	Sulfisoxazole does not inhibit the secretion of small extracellular vesicles	Breast cancer cells	cl	MDA-MB-231	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Small extracellular vesicles
2853	33579909	Homo sapiens	Sulfisoxazole does not inhibit the secretion of small extracellular vesicles	Breast cancer cells	cl	MDA-MB-231	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Small extracellular vesicles
2854	33579909	Homo sapiens	Sulfisoxazole does not inhibit the secretion of small extracellular vesicles	Breast cancer cells	cl	MDA-MB-231	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Small extracellular vesicles
2855	33579909	Homo sapiens	Sulfisoxazole does not inhibit the secretion of small extracellular vesicles	Breast cancer cells	cl	MDA-MB-231	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Small extracellular vesicles
2856	33579909	Homo sapiens	Sulfisoxazole does not inhibit the secretion of small extracellular vesicles	Breast cancer cells	cl	MDA-MB-231	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Small extracellular vesicles
2857	33579909	Mus musculus	Sulfisoxazole does not inhibit the secretion of small extracellular vesicles	Breast cancer cells	cl	4T1	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Small extracellular vesicles
2858	33579909	Mus musculus	Sulfisoxazole does not inhibit the secretion of small extracellular vesicles	Breast cancer cells	cl	4T1	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Small extracellular vesicles
2859	33579909	Mus musculus	Sulfisoxazole does not inhibit the secretion of small extracellular vesicles	Breast cancer cells	cl	4T1	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Small extracellular vesicles
2860	33579909	Mus musculus	Sulfisoxazole does not inhibit the secretion of small extracellular vesicles	Breast cancer cells	cl	4T1	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Small extracellular vesicles
2861	33579909	Mus musculus	Sulfisoxazole does not inhibit the secretion of small extracellular vesicles	Breast cancer cells	cl	4T1	Protein	Western blotting	2021	Differential centrifugation|Ultracentrifugation	Small extracellular vesicles
2862	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Mammary epithelial cells	cl	MCF10A	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2863	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MCF7	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2864	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MDA-MB-231	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2865	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Melanoma cells	cl	SK-MEL-28	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2866	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Embryonic kidney cells	cl	HEK293T	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2867	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MDA-MB-231	Protein	Western blotting|Mass spectrometry	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2868	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MDA-MB-231	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2869	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MDA-MB-231	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2870	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MDA-MB-231	Protein	Western blotting|Mass spectrometry	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2871	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MDA-MB-231	miRNA	miRNA array	2019	Differential centrifugation|Filtration|ExoQuick Kit	Small extracellular vesicles
2872	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MDA-MB-231	miRNA	miRNA array	2019	Differential centrifugation|Filtration|ExoQuick Kit	Small extracellular vesicles
2873	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MCF7	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2874	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MCF7	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2875	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MCF7	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2876	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MCF7	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2877	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Melanoma cells	cl	SK-MEL-28	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2878	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Melanoma cells	cl	SK-MEL-28	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2879	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Melanoma cells	cl	SK-MEL-28	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2880	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Melanoma cells	cl	SK-MEL-28	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2881	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Serum	cl|ts	BALB/c implanted with MDA-MB-231-luci (+)	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2882	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Serum	cl|ts	BALB/c implanted with MDA-MB-231-luci (+)	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2883	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Serum	cl|ts	BALB/c implanted with MDA-MB-231-luci (+)	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2884	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Serum	cl|ts	BALB/c implanted with MDA-MB-231-luci (+)	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2885	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl|ts	BALB/c implanted with MDA-MB-231-luci (+)	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2886	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	MDA-MB-231-luci (+) 	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2887	30918259	Mus musculus	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl	4T1-luci (+)	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2888	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl|ts	BALB/c implanted with MDA-MB-231-WT	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2889	30918259	Homo sapiens	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	Breast cancer cells	cl|ts	BALB/c implanted with MDA-MB-231-ETA KD	Protein	Western blotting	2019	Differential centrifugation|Filtration|Ultracentrifugation	Small extracellular vesicles
2890	28928431	Mus musculus	Tumor induces muscle wasting in mice through releasing extracellular Hsp70 and Hsp90	Lung cancer cells	cl	LLC	Protein	Western blotting	2017	Centrifugal ultrafiltration|ExoQuick Kit	Extracellular vesicles
2891	28928431	Mus musculus	Tumor induces muscle wasting in mice through releasing extracellular Hsp70 and Hsp90	Lung cancer cells	cl	LLC - immunoprecipitation IgG control supernatant	Protein	Western blotting	2017	Centrifugal ultrafiltration|ExoQuick Kit	Extracellular vesicles
2892	28928431	Mus musculus	Tumor induces muscle wasting in mice through releasing extracellular Hsp70 and Hsp90	Lung cancer cells	cl	LLC - immunoprecipitation of CD9 precipitated pellet	Protein	Western blotting	2017	Centrifugal ultrafiltration|ExoQuick Kit	Extracellular vesicles
2893	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Esophageal cancer cells	cl	YES2	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2894	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Esophageal cancer cells	cl	KYSE30	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2895	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Esophageal cancer cells	cl	KYSE150	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2896	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Esophageal cancer cells	cl	KYSE180	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2897	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Esophageal cancer cells	cl	KYSE70	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2898	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Esophageal cancer cells	cl	KYSE140	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2899	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Esophageal cancer cells	cl	COLO680N	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2900	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Gastric cancer cells	cl	AGS	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2901	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Pancreatic cancer cells	cl	AsPC1	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2902	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Pancreatic cancer cells	cl	BxPC3	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2903	33732415	Mus musculus	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Lung cancer cells	cl	LLC	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
2904	33732415	Homo sapiens	Extracellular vesicles derived from oesophageal cancer containing P4HB promote muscle wasting via regulating PHGDH/Bcl-2/caspase-3 pathway	Esophageal cancer cells	cl	KYSE150	Protein	Western blotting	2021	Filtration|Centrifugal ultrafiltration|ExoQuick Kit|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
