CONTENT ID	CONTENT TYPE	LIPID ID	SPECIES	EXPERIMENT ID	METHODS
823	lipid	Bis(monoacylglycero)phosphate 38:3	Mus musculus	1631	LC-MS
824	lipid	Bis(monoacylglycero)phosphate 38:4	Mus musculus	1631	LC-MS
825	lipid	Bis(monoacylglycero)phosphate 38:5	Mus musculus	1631	LC-MS
826	lipid	Bis(monoacylglycero)phosphate 38:6	Mus musculus	1631	LC-MS
827	lipid	Bis(monoacylglycero)phosphate 40:5	Mus musculus	1631	LC-MS
828	lipid	Bis(monoacylglycero)phosphate 40:6	Mus musculus	1631	LC-MS
829	lipid	Bis(monoacylglycero)phosphate 40:7	Mus musculus	1631	LC-MS
830	lipid	Bis(monoacylglycero)phosphate 42:5	Mus musculus	1631	LC-MS
831	lipid	Bis(monoacylglycero)phosphate 42:6	Mus musculus	1631	LC-MS
832	lipid	Bis(monoacylglycero)phosphate 42:7	Mus musculus	1631	LC-MS
833	lipid	Free cholesterol (FC)	Mus musculus	1632	LC-MS
834	lipid	Cholesterol ester (CE)	Mus musculus	1632	LC-MS
835	lipid	Monoglyceride (MG)	Mus musculus	1632	LC-MS
836	lipid	Diglyceride (DG)	Mus musculus	1632	LC-MS
837	lipid	Triglyceride (TG)	Mus musculus	1632	LC-MS
838	lipid	Ceramide (Cer)	Mus musculus	1632	LC-MS
839	lipid	Dihydrocerimide (dhCer)	Mus musculus	1632	LC-MS
840	lipid	Sphingomyelin (SM)	Mus musculus	1632	LC-MS
841	lipid	Dihydrosphingomyelin (dhSM)	Mus musculus	1632	LC-MS
842	lipid	Monohexosylceramide (MhCer)	Mus musculus	1632	LC-MS
843	lipid	Sulfatide (Sulf)	Mus musculus	1632	LC-MS
844	lipid	Lactosylceramide (LacCer)	Mus musculus	1632	LC-MS
845	lipid	Ganglioside (GM3)	Mus musculus	1632	LC-MS
846	lipid	Phosphatidic acid (PA)	Mus musculus	1632	LC-MS
847	lipid	Phosphatidylcholine (PC)	Mus musculus	1632	LC-MS
848	lipid	Phosphatidylcholine-ether (PCe)	Mus musculus	1632	LC-MS
849	lipid	Phosphatidylethanolamine (PE)	Mus musculus	1632	LC-MS
850	lipid	Phosphatidylethanolamine-plasmalogen (PEp)	Mus musculus	1632	LC-MS
851	lipid	Phosphatidylserine (PS)	Mus musculus	1632	LC-MS
852	lipid	Phosphatidylinositol (PI)	Mus musculus	1632	LC-MS
853	lipid	Phosphatidylglycerol (PG)	Mus musculus	1632	LC-MS
854	lipid	Bis(monoacylglycero)phosphate (BMP)	Mus musculus	1632	LC-MS
855	lipid	Lysophosphatidylcholine (LPC)	Mus musculus	1632	LC-MS
856	lipid	Lysophosphatidylcholine-ether (LPCe)	Mus musculus	1632	LC-MS
857	lipid	Lysophosphatidylethanolamine (LPE)	Mus musculus	1632	LC-MS
858	lipid	Lysophosphatidylethanolamine-plasmalogen (LPEp)	Mus musculus	1632	LC-MS
859	lipid	Lysophosphatidylinositol (LPI)	Mus musculus	1632	LC-MS
860	lipid	Bis(monoacylglycero)phosphate 32:0	Mus musculus	1632	LC-MS
861	lipid	Bis(monoacylglycero)phosphate 32:1	Mus musculus	1632	LC-MS
862	lipid	Bis(monoacylglycero)phosphate 34:0	Mus musculus	1632	LC-MS
863	lipid	Bis(monoacylglycero)phosphate 34:1	Mus musculus	1632	LC-MS
864	lipid	Bis(monoacylglycero)phosphate 34:2	Mus musculus	1632	LC-MS
865	lipid	Bis(monoacylglycero)phosphate 36:0	Mus musculus	1632	LC-MS
866	lipid	Bis(monoacylglycero)phosphate 36:1	Mus musculus	1632	LC-MS
867	lipid	Bis(monoacylglycero)phosphate 36:2	Mus musculus	1632	LC-MS
868	lipid	Bis(monoacylglycero)phosphate 36:3	Mus musculus	1632	LC-MS
869	lipid	Bis(monoacylglycero)phosphate 38:0	Mus musculus	1632	LC-MS
870	lipid	Bis(monoacylglycero)phosphate 38:1	Mus musculus	1632	LC-MS
871	lipid	Bis(monoacylglycero)phosphate 38:2	Mus musculus	1632	LC-MS
872	lipid	Bis(monoacylglycero)phosphate 38:3	Mus musculus	1632	LC-MS
873	lipid	Bis(monoacylglycero)phosphate 38:4	Mus musculus	1632	LC-MS
874	lipid	Bis(monoacylglycero)phosphate 38:5	Mus musculus	1632	LC-MS
875	lipid	Bis(monoacylglycero)phosphate 38:6	Mus musculus	1632	LC-MS
876	lipid	Bis(monoacylglycero)phosphate 40:5	Mus musculus	1632	LC-MS
877	lipid	Bis(monoacylglycero)phosphate 40:6	Mus musculus	1632	LC-MS
878	lipid	Bis(monoacylglycero)phosphate 40:7	Mus musculus	1632	LC-MS
879	lipid	Bis(monoacylglycero)phosphate 42:5	Mus musculus	1632	LC-MS
880	lipid	Bis(monoacylglycero)phosphate 42:6	Mus musculus	1632	LC-MS
881	lipid	Bis(monoacylglycero)phosphate 42:7	Mus musculus	1632	LC-MS
882	lipid	Free cholesterol (FC)	Mus musculus	1637	LC-MS
883	lipid	Cholesterol ester (CE)	Mus musculus	1637	LC-MS
884	lipid	Monoglyceride (MG)	Mus musculus	1637	LC-MS
885	lipid	Diglyceride (DG)	Mus musculus	1637	LC-MS
886	lipid	Triglyceride (TG)	Mus musculus	1637	LC-MS
887	lipid	Ceramide (Cer)	Mus musculus	1637	LC-MS
888	lipid	Dihydrocerimide (dhCer)	Mus musculus	1637	LC-MS
889	lipid	Sphingomyelin (SM)	Mus musculus	1637	LC-MS
890	lipid	Dihydrosphingomyelin (dhSM)	Mus musculus	1637	LC-MS
891	lipid	Monohexosylceramide (MhCer)	Mus musculus	1637	LC-MS
892	lipid	Sulfatide (Sulf)	Mus musculus	1637	LC-MS
893	lipid	Lactosylceramide (LacCer)	Mus musculus	1637	LC-MS
894	lipid	Ganglioside (GM3)	Mus musculus	1637	LC-MS
895	lipid	Phosphatidic acid (PA)	Mus musculus	1637	LC-MS
896	lipid	Phosphatidylcholine (PC)	Mus musculus	1637	LC-MS
897	lipid	Phosphatidylcholine-ether (PCe)	Mus musculus	1637	LC-MS
898	lipid	Phosphatidylethanolamine (PE)	Mus musculus	1637	LC-MS
899	lipid	Phosphatidylethanolamine-plasmalogen (PEp)	Mus musculus	1637	LC-MS
900	lipid	Phosphatidylserine (PS)	Mus musculus	1637	LC-MS
901	lipid	Phosphatidylinositol (PI)	Mus musculus	1637	LC-MS
902	lipid	Phosphatidylglycerol (PG)	Mus musculus	1637	LC-MS
903	lipid	Bis(monoacylglycero)phosphate (BMP)	Mus musculus	1637	LC-MS
904	lipid	Lysophosphatidylcholine (LPC)	Mus musculus	1637	LC-MS
905	lipid	Lysophosphatidylcholine-ether (LPCe)	Mus musculus	1637	LC-MS
906	lipid	Lysophosphatidylethanolamine (LPE)	Mus musculus	1637	LC-MS
907	lipid	Lysophosphatidylethanolamine-plasmalogen (LPEp)	Mus musculus	1637	LC-MS
908	lipid	Lysophosphatidylinositol (LPI)	Mus musculus	1637	LC-MS
909	lipid	Free cholesterol (FC)	Mus musculus	1645	LC-MS
910	lipid	Cholesterol ester (CE)	Mus musculus	1645	LC-MS
911	lipid	Monoglyceride (MG)	Mus musculus	1645	LC-MS
912	lipid	Diglyceride (DG)	Mus musculus	1645	LC-MS
913	lipid	Triglyceride (TG)	Mus musculus	1645	LC-MS
914	lipid	Ceramide (Cer)	Mus musculus	1645	LC-MS
915	lipid	Dihydrocerimide (dhCer)	Mus musculus	1645	LC-MS
916	lipid	Sphingomyelin (SM)	Mus musculus	1645	LC-MS
917	lipid	Dihydrosphingomyelin (dhSM)	Mus musculus	1645	LC-MS
918	lipid	Monohexosylceramide (MhCer)	Mus musculus	1645	LC-MS
919	lipid	Sulfatide (Sulf)	Mus musculus	1645	LC-MS
920	lipid	Lactosylceramide (LacCer)	Mus musculus	1645	LC-MS
921	lipid	Ganglioside (GM3)	Mus musculus	1645	LC-MS
922	lipid	Phosphatidic acid (PA)	Mus musculus	1645	LC-MS
923	lipid	Phosphatidylcholine (PC)	Mus musculus	1645	LC-MS
924	lipid	Phosphatidylcholine-ether (PCe)	Mus musculus	1645	LC-MS
925	lipid	Phosphatidylethanolamine (PE)	Mus musculus	1645	LC-MS
926	lipid	Phosphatidylethanolamine-plasmalogen (PEp)	Mus musculus	1645	LC-MS
927	lipid	Phosphatidylserine (PS)	Mus musculus	1645	LC-MS
928	lipid	Phosphatidylinositol (PI)	Mus musculus	1645	LC-MS
929	lipid	Phosphatidylglycerol (PG)	Mus musculus	1645	LC-MS
930	lipid	Bis(monoacylglycero)phosphate (BMP)	Mus musculus	1645	LC-MS
931	lipid	Lysophosphatidylcholine (LPC)	Mus musculus	1645	LC-MS
932	lipid	Lysophosphatidylcholine-ether (LPCe)	Mus musculus	1645	LC-MS
933	lipid	Lysophosphatidylethanolamine (LPE)	Mus musculus	1645	LC-MS
934	lipid	Lysophosphatidylethanolamine-plasmalogen (LPEp)	Mus musculus	1645	LC-MS
935	lipid	Lysophosphatidylinositol (LPI)	Mus musculus	1645	LC-MS
936	lipid	Bis(monoacylglycero)phosphate 32:0	Mus musculus	1645	LC-MS
937	lipid	Bis(monoacylglycero)phosphate 32:1	Mus musculus	1645	LC-MS
938	lipid	Bis(monoacylglycero)phosphate 34:0	Mus musculus	1645	LC-MS
939	lipid	Bis(monoacylglycero)phosphate 34:1	Mus musculus	1645	LC-MS
940	lipid	Bis(monoacylglycero)phosphate 34:2	Mus musculus	1645	LC-MS
941	lipid	Bis(monoacylglycero)phosphate 36:0	Mus musculus	1645	LC-MS
942	lipid	Bis(monoacylglycero)phosphate 36:1	Mus musculus	1645	LC-MS
943	lipid	Bis(monoacylglycero)phosphate 36:2	Mus musculus	1645	LC-MS
944	lipid	Bis(monoacylglycero)phosphate 36:3	Mus musculus	1645	LC-MS
945	lipid	Bis(monoacylglycero)phosphate 38:0	Mus musculus	1645	LC-MS
946	lipid	Bis(monoacylglycero)phosphate 38:1	Mus musculus	1645	LC-MS
947	lipid	Bis(monoacylglycero)phosphate 38:2	Mus musculus	1645	LC-MS
948	lipid	Bis(monoacylglycero)phosphate 38:3	Mus musculus	1645	LC-MS
949	lipid	Bis(monoacylglycero)phosphate 38:4	Mus musculus	1645	LC-MS
950	lipid	Bis(monoacylglycero)phosphate 38:5	Mus musculus	1645	LC-MS
951	lipid	Bis(monoacylglycero)phosphate 38:6	Mus musculus	1645	LC-MS
952	lipid	Bis(monoacylglycero)phosphate 40:5	Mus musculus	1645	LC-MS
953	lipid	Bis(monoacylglycero)phosphate 40:6	Mus musculus	1645	LC-MS
954	lipid	Bis(monoacylglycero)phosphate 40:7	Mus musculus	1645	LC-MS
955	lipid	Bis(monoacylglycero)phosphate 42:5	Mus musculus	1645	LC-MS
956	lipid	Bis(monoacylglycero)phosphate 42:6	Mus musculus	1645	LC-MS
957	lipid	Bis(monoacylglycero)phosphate 42:7	Mus musculus	1645	LC-MS
958	lipid	Free cholesterol (FC)	Mus musculus	1646	LC-MS
959	lipid	Cholesterol ester (CE)	Mus musculus	1646	LC-MS
960	lipid	Monoglyceride (MG)	Mus musculus	1646	LC-MS
961	lipid	Diglyceride (DG)	Mus musculus	1646	LC-MS
962	lipid	Triglyceride (TG)	Mus musculus	1646	LC-MS
963	lipid	Ceramide (Cer)	Mus musculus	1646	LC-MS
964	lipid	Dihydrocerimide (dhCer)	Mus musculus	1646	LC-MS
965	lipid	Sphingomyelin (SM)	Mus musculus	1646	LC-MS
966	lipid	Dihydrosphingomyelin (dhSM)	Mus musculus	1646	LC-MS
967	lipid	Monohexosylceramide (MhCer)	Mus musculus	1646	LC-MS
968	lipid	Sulfatide (Sulf)	Mus musculus	1646	LC-MS
969	lipid	Lactosylceramide (LacCer)	Mus musculus	1646	LC-MS
970	lipid	Ganglioside (GM3)	Mus musculus	1646	LC-MS
971	lipid	Phosphatidic acid (PA)	Mus musculus	1646	LC-MS
972	lipid	Phosphatidylcholine (PC)	Mus musculus	1646	LC-MS
973	lipid	Phosphatidylcholine-ether (PCe)	Mus musculus	1646	LC-MS
974	lipid	Phosphatidylethanolamine (PE)	Mus musculus	1646	LC-MS
975	lipid	Phosphatidylethanolamine-plasmalogen (PEp)	Mus musculus	1646	LC-MS
976	lipid	Phosphatidylserine (PS)	Mus musculus	1646	LC-MS
977	lipid	Phosphatidylinositol (PI)	Mus musculus	1646	LC-MS
978	lipid	Phosphatidylglycerol (PG)	Mus musculus	1646	LC-MS
979	lipid	Bis(monoacylglycero)phosphate (BMP)	Mus musculus	1646	LC-MS
980	lipid	Lysophosphatidylcholine (LPC)	Mus musculus	1646	LC-MS
981	lipid	Lysophosphatidylcholine-ether (LPCe)	Mus musculus	1646	LC-MS
982	lipid	Lysophosphatidylethanolamine (LPE)	Mus musculus	1646	LC-MS
983	lipid	Lysophosphatidylethanolamine-plasmalogen (LPEp)	Mus musculus	1646	LC-MS
984	lipid	Lysophosphatidylinositol (LPI)	Mus musculus	1646	LC-MS
985	lipid	Bis(monoacylglycero)phosphate 32:0	Mus musculus	1646	LC-MS
986	lipid	Bis(monoacylglycero)phosphate 32:1	Mus musculus	1646	LC-MS
987	lipid	Bis(monoacylglycero)phosphate 34:0	Mus musculus	1646	LC-MS
988	lipid	Bis(monoacylglycero)phosphate 34:1	Mus musculus	1646	LC-MS
989	lipid	Bis(monoacylglycero)phosphate 34:2	Mus musculus	1646	LC-MS
990	lipid	Bis(monoacylglycero)phosphate 36:0	Mus musculus	1646	LC-MS
991	lipid	Bis(monoacylglycero)phosphate 36:1	Mus musculus	1646	LC-MS
992	lipid	Bis(monoacylglycero)phosphate 36:2	Mus musculus	1646	LC-MS
993	lipid	Bis(monoacylglycero)phosphate 36:3	Mus musculus	1646	LC-MS
994	lipid	Bis(monoacylglycero)phosphate 38:0	Mus musculus	1646	LC-MS
995	lipid	Bis(monoacylglycero)phosphate 38:1	Mus musculus	1646	LC-MS
996	lipid	Bis(monoacylglycero)phosphate 38:2	Mus musculus	1646	LC-MS
997	lipid	Bis(monoacylglycero)phosphate 38:3	Mus musculus	1646	LC-MS
998	lipid	Bis(monoacylglycero)phosphate 38:4	Mus musculus	1646	LC-MS
999	lipid	Bis(monoacylglycero)phosphate 38:5	Mus musculus	1646	LC-MS
1000	lipid	Bis(monoacylglycero)phosphate 38:6	Mus musculus	1646	LC-MS
1001	lipid	Bis(monoacylglycero)phosphate 40:5	Mus musculus	1646	LC-MS
1002	lipid	Bis(monoacylglycero)phosphate 40:6	Mus musculus	1646	LC-MS
1003	lipid	Bis(monoacylglycero)phosphate 40:7	Mus musculus	1646	LC-MS
1004	lipid	Bis(monoacylglycero)phosphate 42:5	Mus musculus	1646	LC-MS
1005	lipid	Bis(monoacylglycero)phosphate 42:6	Mus musculus	1646	LC-MS
1006	lipid	Bis(monoacylglycero)phosphate 42:7	Mus musculus	1646	LC-MS
1007	lipid	Phosphatidylserine	Homo sapiens	2007	Flow cytometry
1008	lipid	Phosphatidylserine	Homo sapiens	2008	Flow cytometry
1009	lipid	Phosphatidylserine	Homo sapiens	2009	Flow cytometry
1010	lipid	Lipopolysaccharide	Escherichia coli	2148	Western blotting
1011	lipid	Lipopolysaccharide	Escherichia coli	2191	ELISA
1012	lipid	Phosphatidylserine	Homo sapiens	2284	Flow cytometry
1013	lipid	Phosphatidylserine	Homo sapiens	2285	Flow cytometry
1014	lipid	Lipopolysaccharide		2355	Pierce Chromogenic Endotoxin Quant Kit
1015	lipid	Lipopolysaccharide		2356	Pierce Chromogenic Endotoxin Quant Kit
1016	lipid	Lipopolysaccharide		2357	Pierce Chromogenic Endotoxin Quant Kit
1017	lipid	Lipoteichoic acid		2357	Western blotting
1018	lipid	Lipopolysaccharide		2358	Pierce Chromogenic Endotoxin Quant Kit
1019	lipid	Lipopolysaccharide		2359	Pierce Chromogenic Endotoxin Quant Kit
1020	lipid	Lipopolysaccharide		2360	Pierce Chromogenic Endotoxin Quant Kit
1021	lipid	Phosphatidylserine 	Homo sapiens	2529	Flow cytometry
1022	lipid	Phosphatidylserine 	Mus musculus	2538	Flow cytometry
1023	lipid	Phosphatidylserine 	Mus musculus	2540	Flow cytometry
1024	lipid	Phosphatidylserine 	Mus musculus	2541	Flow cytometry
1025	lipid	Phosphatidylserine 	Mus musculus	2542	Flow cytometry
1026	lipid	LPC(16:1)	Mus musculus	1321	Mass spectrometry
1027	lipid	LPC(16:0)	Mus musculus	1321	Mass spectrometry
1028	lipid	LPC(18:3)	Mus musculus	1321	Mass spectrometry
1029	lipid	LPC(18:2)	Mus musculus	1321	Mass spectrometry
1030	lipid	LPC(18:1)	Mus musculus	1321	Mass spectrometry
1031	lipid	LPC(18:0)	Mus musculus	1321	Mass spectrometry
1032	lipid	LPC(20:5)	Mus musculus	1321	Mass spectrometry
1033	lipid	LPC(20:4)	Mus musculus	1321	Mass spectrometry
1034	lipid	LPC(20:3)	Mus musculus	1321	Mass spectrometry
1035	lipid	LPC(20:2)	Mus musculus	1321	Mass spectrometry
1036	lipid	LPC(20:1)	Mus musculus	1321	Mass spectrometry
1037	lipid	LPC(20:0)	Mus musculus	1321	Mass spectrometry
1038	lipid	LPC(22:6)	Mus musculus	1321	Mass spectrometry
1039	lipid	LPC(22:5)	Mus musculus	1321	Mass spectrometry
1040	lipid	PC(28:1)	Mus musculus	1321	Mass spectrometry
1041	lipid	PC(30:1)	Mus musculus	1321	Mass spectrometry
1042	lipid	PC(30:0)	Mus musculus	1321	Mass spectrometry
1043	lipid	PC(32:2)	Mus musculus	1321	Mass spectrometry
1044	lipid	PC(32:1)	Mus musculus	1321	Mass spectrometry
1045	lipid	PC(32:0)	Mus musculus	1321	Mass spectrometry
1046	lipid	PC(34:4)	Mus musculus	1321	Mass spectrometry
1047	lipid	PC(34:3)	Mus musculus	1321	Mass spectrometry
1048	lipid	PC(34:2)	Mus musculus	1321	Mass spectrometry
1049	lipid	PC(34:1)	Mus musculus	1321	Mass spectrometry
1050	lipid	PC(34:0)	Mus musculus	1321	Mass spectrometry
1051	lipid	PC(36:6)	Mus musculus	1321	Mass spectrometry
1052	lipid	PC(36:5)	Mus musculus	1321	Mass spectrometry
1053	lipid	PC(36:4)	Mus musculus	1321	Mass spectrometry
1054	lipid	PC(36:3)	Mus musculus	1321	Mass spectrometry
1055	lipid	PC(36:2)	Mus musculus	1321	Mass spectrometry
1056	lipid	PC(36:1)	Mus musculus	1321	Mass spectrometry
1057	lipid	PC(36:0)	Mus musculus	1321	Mass spectrometry
1058	lipid	PC(38:6)	Mus musculus	1321	Mass spectrometry
1059	lipid	PC(38:5)	Mus musculus	1321	Mass spectrometry
1060	lipid	PC(38:4)	Mus musculus	1321	Mass spectrometry
1061	lipid	PC(38:3)	Mus musculus	1321	Mass spectrometry
1062	lipid	PC(38:2)	Mus musculus	1321	Mass spectrometry
1063	lipid	PC(38:1)	Mus musculus	1321	Mass spectrometry
1064	lipid	PC(38:0)	Mus musculus	1321	Mass spectrometry
1065	lipid	PC(40:8)	Mus musculus	1321	Mass spectrometry
1066	lipid	PC(40:7)	Mus musculus	1321	Mass spectrometry
1067	lipid	PC(40:6)	Mus musculus	1321	Mass spectrometry
1068	lipid	PC(40:5)	Mus musculus	1321	Mass spectrometry
1069	lipid	PC(40:4)	Mus musculus	1321	Mass spectrometry
1070	lipid	PC(40:3)	Mus musculus	1321	Mass spectrometry
1071	lipid	PC(40:2)	Mus musculus	1321	Mass spectrometry
1072	lipid	PC(42:11)	Mus musculus	1321	Mass spectrometry
1073	lipid	PC(42:10)	Mus musculus	1321	Mass spectrometry
1074	lipid	PC(42:9)	Mus musculus	1321	Mass spectrometry
1075	lipid	PC(42:8)	Mus musculus	1321	Mass spectrometry
1076	lipid	PC(42:7)	Mus musculus	1321	Mass spectrometry
1077	lipid	PC(42:6)	Mus musculus	1321	Mass spectrometry
1078	lipid	PC(42:5)	Mus musculus	1321	Mass spectrometry
1079	lipid	PC(42:4)	Mus musculus	1321	Mass spectrometry
1080	lipid	PC(42:3)	Mus musculus	1321	Mass spectrometry
1081	lipid	PC(42:2)	Mus musculus	1321	Mass spectrometry
1082	lipid	PC(44:12)	Mus musculus	1321	Mass spectrometry
1083	lipid	PC(44:11)	Mus musculus	1321	Mass spectrometry
1084	lipid	PC(44:10)	Mus musculus	1321	Mass spectrometry
1085	lipid	PC(44:9)	Mus musculus	1321	Mass spectrometry
1086	lipid	PC(44:8)	Mus musculus	1321	Mass spectrometry
1087	lipid	PC(44:7)	Mus musculus	1321	Mass spectrometry
1088	lipid	PC(44:6)	Mus musculus	1321	Mass spectrometry
1089	lipid	PC(44:5)	Mus musculus	1321	Mass spectrometry
1090	lipid	PC(44:4)	Mus musculus	1321	Mass spectrometry
1091	lipid	PC(44:3)	Mus musculus	1321	Mass spectrometry
1092	lipid	PC(44:2)	Mus musculus	1321	Mass spectrometry
1093	lipid	SM(16:1)	Mus musculus	1321	Mass spectrometry
1094	lipid	SM(16:0)	Mus musculus	1321	Mass spectrometry
1095	lipid	DSM(16:0)	Mus musculus	1321	Mass spectrometry
1096	lipid	SM(18:1)	Mus musculus	1321	Mass spectrometry
1097	lipid	SM(18:0)	Mus musculus	1321	Mass spectrometry
1098	lipid	DSM(18:0)	Mus musculus	1321	Mass spectrometry
1099	lipid	SM(22:1)	Mus musculus	1321	Mass spectrometry
1100	lipid	SM(22:0)	Mus musculus	1321	Mass spectrometry
1101	lipid	DSM(22:0)	Mus musculus	1321	Mass spectrometry
1102	lipid	SM(24:1)	Mus musculus	1321	Mass spectrometry
1103	lipid	SM(24:0)	Mus musculus	1321	Mass spectrometry
1104	lipid	DSM(24:0)	Mus musculus	1321	Mass spectrometry
1105	lipid	ePC(32:3)	Mus musculus	1321	Mass spectrometry
1106	lipid	ePC(32:2)	Mus musculus	1321	Mass spectrometry
1107	lipid	ePC(32:1)	Mus musculus	1321	Mass spectrometry
1108	lipid	ePC(32:0)	Mus musculus	1321	Mass spectrometry
1109	lipid	ePC(34:4)	Mus musculus	1321	Mass spectrometry
1110	lipid	ePC(34:3)	Mus musculus	1321	Mass spectrometry
1111	lipid	ePC(34:2)	Mus musculus	1321	Mass spectrometry
1112	lipid	ePC(34:1)	Mus musculus	1321	Mass spectrometry
1113	lipid	ePC(34:0)	Mus musculus	1321	Mass spectrometry
1114	lipid	ePC(36:5)	Mus musculus	1321	Mass spectrometry
1115	lipid	ePC(36:4)	Mus musculus	1321	Mass spectrometry
1116	lipid	ePC(36:3)	Mus musculus	1321	Mass spectrometry
1117	lipid	ePC(36:2)	Mus musculus	1321	Mass spectrometry
1118	lipid	ePC(36:1)	Mus musculus	1321	Mass spectrometry
1119	lipid	ePC(36:0)	Mus musculus	1321	Mass spectrometry
1120	lipid	ePC(38:6)	Mus musculus	1321	Mass spectrometry
1121	lipid	ePC(38:5)	Mus musculus	1321	Mass spectrometry
1122	lipid	ePC(38:4)	Mus musculus	1321	Mass spectrometry
1123	lipid	ePC(38:3)	Mus musculus	1321	Mass spectrometry
1124	lipid	ePC(38:2)	Mus musculus	1321	Mass spectrometry
1125	lipid	ePC(38:1)	Mus musculus	1321	Mass spectrometry
1126	lipid	ePC(38:0)	Mus musculus	1321	Mass spectrometry
1127	lipid	ePC(40:6)	Mus musculus	1321	Mass spectrometry
1128	lipid	ePC(40:5)	Mus musculus	1321	Mass spectrometry
1129	lipid	ePC(40:4)	Mus musculus	1321	Mass spectrometry
1130	lipid	ePC(40:3)	Mus musculus	1321	Mass spectrometry
1131	lipid	ePC(40:2)	Mus musculus	1321	Mass spectrometry
1132	lipid	LPE(16:1)	Mus musculus	1321	Mass spectrometry
1133	lipid	LPE(16:0)	Mus musculus	1321	Mass spectrometry
1134	lipid	LPE(18:3)	Mus musculus	1321	Mass spectrometry
1135	lipid	LPE(18:2)	Mus musculus	1321	Mass spectrometry
1136	lipid	LPE(18:1)	Mus musculus	1321	Mass spectrometry
1137	lipid	LPE(20:5)	Mus musculus	1321	Mass spectrometry
1138	lipid	LPE(20:4)	Mus musculus	1321	Mass spectrometry
1139	lipid	LPE(20:3)	Mus musculus	1321	Mass spectrometry
1140	lipid	LPE(20:2)	Mus musculus	1321	Mass spectrometry
1141	lipid	LPE(20:1)	Mus musculus	1321	Mass spectrometry
1142	lipid	LPE(20:0)	Mus musculus	1321	Mass spectrometry
1143	lipid	LPE(22:6)	Mus musculus	1321	Mass spectrometry
1144	lipid	LPE(22:5)	Mus musculus	1321	Mass spectrometry
1145	lipid	PE(28:1)	Mus musculus	1321	Mass spectrometry
1146	lipid	PE(28:0)	Mus musculus	1321	Mass spectrometry
1147	lipid	PE(30:1)	Mus musculus	1321	Mass spectrometry
1148	lipid	PE(30:0)	Mus musculus	1321	Mass spectrometry
1149	lipid	PE(32:2)	Mus musculus	1321	Mass spectrometry
1150	lipid	PE(32:1)	Mus musculus	1321	Mass spectrometry
1151	lipid	PE(32:0)	Mus musculus	1321	Mass spectrometry
1152	lipid	PE(34:4)	Mus musculus	1321	Mass spectrometry
1153	lipid	PE(34:3)	Mus musculus	1321	Mass spectrometry
1154	lipid	PE(34:2)	Mus musculus	1321	Mass spectrometry
1155	lipid	PE(34:1)	Mus musculus	1321	Mass spectrometry
1156	lipid	PE(34:0)	Mus musculus	1321	Mass spectrometry
1157	lipid	PE(36:6)	Mus musculus	1321	Mass spectrometry
1158	lipid	PE(36:5)	Mus musculus	1321	Mass spectrometry
1159	lipid	PE(36:4)	Mus musculus	1321	Mass spectrometry
1160	lipid	PE(36:3)	Mus musculus	1321	Mass spectrometry
1161	lipid	PE(36:2)	Mus musculus	1321	Mass spectrometry
1162	lipid	PE(36:1)	Mus musculus	1321	Mass spectrometry
1163	lipid	PE(36:0)	Mus musculus	1321	Mass spectrometry
1164	lipid	PE(38:6)	Mus musculus	1321	Mass spectrometry
1165	lipid	PE(38:5)	Mus musculus	1321	Mass spectrometry
1166	lipid	PE(38:4)	Mus musculus	1321	Mass spectrometry
1167	lipid	PE(38:3)	Mus musculus	1321	Mass spectrometry
1168	lipid	PE(38:2)	Mus musculus	1321	Mass spectrometry
1169	lipid	PE(38:1)	Mus musculus	1321	Mass spectrometry
1170	lipid	PE(38:0)	Mus musculus	1321	Mass spectrometry
1171	lipid	PE(40:8)	Mus musculus	1321	Mass spectrometry
1172	lipid	PE(40:7)	Mus musculus	1321	Mass spectrometry
1173	lipid	PE(40:6)	Mus musculus	1321	Mass spectrometry
1174	lipid	PE(40:5)	Mus musculus	1321	Mass spectrometry
1175	lipid	PE(40:4)	Mus musculus	1321	Mass spectrometry
1176	lipid	PE(40:3)	Mus musculus	1321	Mass spectrometry
1177	lipid	PE(40:2)	Mus musculus	1321	Mass spectrometry
1178	lipid	PE(42:10)	Mus musculus	1321	Mass spectrometry
1179	lipid	PE(42:9)	Mus musculus	1321	Mass spectrometry
1180	lipid	PE(42:8)	Mus musculus	1321	Mass spectrometry
1181	lipid	PE(42:7)	Mus musculus	1321	Mass spectrometry
1182	lipid	PE(42:6)	Mus musculus	1321	Mass spectrometry
1183	lipid	PE(42:5)	Mus musculus	1321	Mass spectrometry
1184	lipid	PE(42:4)	Mus musculus	1321	Mass spectrometry
1185	lipid	PE(42:3)	Mus musculus	1321	Mass spectrometry
1186	lipid	PE(42:2)	Mus musculus	1321	Mass spectrometry
1187	lipid	PE(44:12)	Mus musculus	1321	Mass spectrometry
1188	lipid	PE(44:11)	Mus musculus	1321	Mass spectrometry
1189	lipid	PE(44:10)	Mus musculus	1321	Mass spectrometry
1190	lipid	PE(44:9)	Mus musculus	1321	Mass spectrometry
1191	lipid	PE(44:8)	Mus musculus	1321	Mass spectrometry
1192	lipid	PE(44:7)	Mus musculus	1321	Mass spectrometry
1193	lipid	PE(44:6)	Mus musculus	1321	Mass spectrometry
1194	lipid	PE(44:5)	Mus musculus	1321	Mass spectrometry
