CONTENT ID	CONTENT TYPE	LIPID ID	SPECIES	EXPERIMENT ID	METHODS
23	lipid	FA20:2?6	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
24	lipid	FA20:3?6	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
25	lipid	FA20:4?6	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
26	lipid	FA20:5?6	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
27	lipid	FA22:6?3	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
28	lipid	Prostaglandin 15d-PGJ2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
29	lipid	Prostaglandin 15-deoxy-?12	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
30	lipid	Prostaglandin 14-PGJ2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
31	lipid	Prostaglandin PGF2a	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
32	lipid	Prostaglandin PGE2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
33	lipid	Prostaglandin PGD2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
34	lipid	Prostaglandin F2a	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
35	lipid	Prostaglandin E2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
36	lipid	Prostaglandin D2	Rattus norvegicus	89	Gas chromatography|TLC|GC-MS
37	lipid	Phosphatidylcholine (PC)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
38	lipid	Phosphatidylethanolamine (PE)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
39	lipid	Phosphatidylinositol (PI)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
40	lipid	Phosphatidylserine (PS)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
41	lipid	Cholesterol (Chol)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
42	lipid	Cholesterol esters	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
43	lipid	Ceramide (Cer)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
44	lipid	Sphingomyelin (SM)	Rattus norvegicus	127	Gas-liquid chromatography|High performance thin layer chromatography
45	lipid	Lysophosphatidylcholine (LPC)	Homo sapiens	128	HPLC|Gas chromatography
46	lipid	Sphingomyelin (SM)	Homo sapiens	128	HPLC|Gas chromatography
47	lipid	Phosphatidylcholine (PC)	Homo sapiens	128	HPLC|Gas chromatography
48	lipid	Phosphatidylinositol (PI)	Homo sapiens	128	HPLC|Gas chromatography
49	lipid	Phosphatidylserine (PS)	Homo sapiens	128	HPLC|Gas chromatography
50	lipid	Phosphatidylethanolamine (PE)	Homo sapiens	128	HPLC|Gas chromatography
51	lipid	Cholesterol (Chol)	Homo sapiens	128	HPLC|Gas chromatography
52	lipid	Diacylglycerol (DG)	Homo sapiens	128	HPLC|Gas chromatography
53	lipid	Lysophosphatidylcholine	Rattus norvegicus	129	HPLC|Gas chromatography
54	lipid	Sphingomyelin (SM)	Rattus norvegicus	129	HPLC|Gas chromatography
55	lipid	Phosphatidylcholine (PC)	Rattus norvegicus	129	HPLC|Gas chromatography
56	lipid	Phosphatidylinositol (PI)	Rattus norvegicus	129	HPLC|Gas chromatography
57	lipid	Phosphatidylserine (PS)	Rattus norvegicus	129	HPLC|Gas chromatography
58	lipid	Phosphatidylethanolamine (PE)	Rattus norvegicus	129	HPLC|Gas chromatography
59	lipid	Cholesterol (Chol)	Rattus norvegicus	129	HPLC|Gas chromatography
60	lipid	Diacylglycerol (DG)	Rattus norvegicus	129	HPLC|Gas chromatography
61	lipid	Diacyl phosphatidylcholine (DA-PC)	Rattus norvegicus	129	HPLC|Gas chromatography
62	lipid	Alkyl-acyl phosphatidylcholine (AA-PC)	Rattus norvegicus	129	HPLC|Gas chromatography
63	lipid	Alkenyl-acyl phosphatidylcholine (AeA-PC)	Rattus norvegicus	129	HPLC|Gas chromatography
64	lipid	Diacyl phosphatidylethanolamine (DA-PE)	Rattus norvegicus	129	HPLC|Gas chromatography
65	lipid	Alkyl-acyl phosphatidylethanolamine (AA-PE)	Rattus norvegicus	129	HPLC|Gas chromatography
66	lipid	Alkenyl-acyl phosphatidylethanolamine (AeA-PE)	Rattus norvegicus	129	HPLC|Gas chromatography
67	lipid	PC18:1/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
68	lipid	PC16:0/20:5	Rattus norvegicus	129	HPLC|Gas chromatography
69	lipid	PC16:0/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
70	lipid	PC18:2/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
71	lipid	PC18:1/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
72	lipid	PC16:0/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
73	lipid	PC18:1/22:5	Rattus norvegicus	129	HPLC|Gas chromatography
74	lipid	PC18:1/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
75	lipid	PC18:0/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
76	lipid	PC16:0/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
77	lipid	PC16:1/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
78	lipid	PC16:0/22:4	Rattus norvegicus	129	HPLC|Gas chromatography
79	lipid	PC16:0/20:3n6	Rattus norvegicus	129	HPLC|Gas chromatography
80	lipid	PC18:0/22:5n3	Rattus norvegicus	129	HPLC|Gas chromatography
81	lipid	PC16:0/20:3n9	Rattus norvegicus	129	HPLC|Gas chromatography
82	lipid	PC18:0/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
83	lipid	PC18:0/22:5n6	Rattus norvegicus	129	HPLC|Gas chromatography
84	lipid	PC18:1/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
85	lipid	PC16:0/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
86	lipid	PC18:0/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
87	lipid	PC16:0/16:0	Rattus norvegicus	129	HPLC|Gas chromatography
88	lipid	PC18:0/20:3	Rattus norvegicus	129	HPLC|Gas chromatography
89	lipid	PC18:0/20:2	Rattus norvegicus	129	HPLC|Gas chromatography
90	lipid	PC18:1/20:1	Rattus norvegicus	129	HPLC|Gas chromatography
91	lipid	PC18:0/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
92	lipid	PC16:0/20:1	Rattus norvegicus	129	HPLC|Gas chromatography
93	lipid	PC16:0/18:0	Rattus norvegicus	129	HPLC|Gas chromatography
94	lipid	PE18:1/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
95	lipid	PE16:0/20:5	Rattus norvegicus	129	HPLC|Gas chromatography
96	lipid	PE16:0/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
97	lipid	PE18:2/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
98	lipid	PE18:1/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
99	lipid	PE16:0/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
100	lipid	PE18:1/22:5	Rattus norvegicus	129	HPLC|Gas chromatography
101	lipid	PE18:1/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
102	lipid	PE18:0/22:6	Rattus norvegicus	129	HPLC|Gas chromatography
103	lipid	PE16:0/18:2	Rattus norvegicus	129	HPLC|Gas chromatography
104	lipid	PE16:1/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
105	lipid	PE16:0/22:4	Rattus norvegicus	129	HPLC|Gas chromatography
106	lipid	PE16:0/20:3n6	Rattus norvegicus	129	HPLC|Gas chromatography
107	lipid	PE18:0/22:5n3	Rattus norvegicus	129	HPLC|Gas chromatography
108	lipid	PE16:0/20:3n9	Rattus norvegicus	129	HPLC|Gas chromatography
109	lipid	PE18:0/20:4	Rattus norvegicus	129	HPLC|Gas chromatography
110	lipid	PE18:0/22:5n6	Rattus norvegicus	129	HPLC|Gas chromatography
111	lipid	PE18:1/18:1	Rattus norvegicus	129	HPLC|Gas chromatography
